"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Category Scheme: WoS",,,,,,
Rank,Full Journal Title,ISSN,Total Cites,Journal Impact Factor,5-Year Impact Factor,Eigenfactor Score
4743,JOURNAL OF GUIDANCE CONTROL AND DYNAMICS,0731-5090,"9,618",2.024,2.286,0.008760
4743,SEX ROLES,0360-0025,"7,547",2.024,2.742,0.005430
4749,EXPERIMENTAL AND TOXICOLOGIC PATHOLOGY,0940-2993,"2,400",2.023,2.148,0.002720
4749,PSYCHOLOGY & MARKETING,0742-6046,"4,767",2.023,2.631,0.003350
4749,Review of Finance,1572-3097,"1,398",2.023,2.836,0.008290
4749,Territory Politics Governance,2162-2671,209,2.023,2.394,0.000790
4753,Annual Review of Resource Economics,1941-1340,507,2.022,2.676,0.002050
4753,Annual Review of Resource Economics,1941-1340,507,2.022,2.676,0.002050
4753,EQUINE VETERINARY JOURNAL,0425-1644,"6,331",2.022,2.226,0.005360
4753,Fuzzy Optimization and Decision Making,1568-4539,826,2.022,3.076,0.001190
4753,Journal of Global Antimicrobial Resistance,2213-7165,467,2.022,1.858,0.001550
4758,Adicciones,0214-4840,512,2.021,1.794,0.000610
4758,Adicciones,0214-4840,512,2.021,1.794,0.000610
4758,Physical Review Fluids,2469-990X,695,2.021,2.021,0.002770
4761,MICROELECTRONIC ENGINEERING,0167-9317,"8,183",2.020,1.461,0.009500
4762,ACM Transactions on Multimedia Computing Communications and Applications,1551-6857,781,2.019,1.803,0.001920
4762,ERGONOMICS,0014-0139,"7,273",2.019,2.183,0.005960
4762,ERGONOMICS,0014-0139,"7,273",2.019,2.183,0.005960
4762,STRUCTURAL CHEMISTRY,1040-0400,"2,479",2.019,1.526,0.003150
4766,JOURNAL OF FOOD SCIENCE,0022-1147,"23,995",2.018,2.307,0.012710
4767,Global Public Health,1744-1692,"1,393",2.017,2.005,0.004320
4768,CHINESE JOURNAL OF POLYMER SCIENCE,0256-7679,"1,849",2.016,1.582,0.002730
4768,CLINICS IN PLASTIC SURGERY,0094-1298,"2,256",2.016,1.767,0.002310
4768,Clinical and Experimental Nephrology,1342-1751,"2,107",2.016,1.948,0.004440
4771,HISTOLOGY AND HISTOPATHOLOGY,0213-3911,"4,388",2.015,1.793,0.004500
4771,INTERNATIONAL JOURNAL OF HIGH PERFORMANCE COMPUTING APPLICATIONS,1094-3420,829,2.015,1.975,0.001600
4771,JOURNAL OF BIOSCIENCE AND BIOENGINEERING,1389-1723,"7,881",2.015,2.148,0.007990
4771,JOURNAL OF GEOLOGY,0022-1376,"7,102",2.015,2.972,0.002580
4771,LIMNOLOGY AND OCEANOGRAPHY-METHODS,1541-5856,"2,444",2.015,2.585,0.004370
4771,Mycosphere,2077-7000,827,2.015,1.533,0.001770
4777,Critical Care and Resuscitation,1441-2772,855,2.014,2.223,0.002360
4777,EUROPEAN JOURNAL OF GASTROENTEROLOGY & HEPATOLOGY,0954-691X,"6,271",2.014,2.087,0.009260
4777,JOURNAL OF ASTHMA,0277-0903,"3,455",2.014,1.960,0.005850
4777,OBSTETRICAL & GYNECOLOGICAL SURVEY,0029-7828,"1,790",2.014,2.164,0.001740
4777,Reproductive Health,1742-4755,"1,896",2.014,2.859,0.006330
4777,Reproductive Health,1742-4755,"1,896",2.014,2.859,0.006330
4783,Endocrine Metabolic & Immune Disorders-Drug Targets,1871-5303,677,2.013,Not Available,0.001240
4783,TELLUS SERIES B-CHEMICAL AND PHYSICAL METEOROLOGY,1600-0889,"3,643",2.013,2.931,0.003700
4785,INTERNATIONAL JOURNAL OF BEHAVIORAL MEDICINE,1070-5503,"2,288",2.012,2.259,0.003930
4785,NONLINEAR ANALYSIS-REAL WORLD APPLICATIONS,1468-1218,"4,474",2.012,2.317,0.010140
4787,JOURNAL OF MOLECULAR STRUCTURE,0022-2860,"18,768",2.011,1.784,0.015310
4787,Pregnancy Hypertension-An International Journal of Womens Cardiovascular Health,2210-7789,688,2.011,2.937,0.002670
4787,Prion,1933-6896,"1,009",2.011,2.228,0.002590
4790,JOURNAL OF THE EXPERIMENTAL ANALYSIS OF BEHAVIOR,0022-5002,"3,035",2.010,1.976,0.001790
4790,JOURNAL OF THE EXPERIMENTAL ANALYSIS OF BEHAVIOR,0022-5002,"3,035",2.010,1.976,0.001790
4792,Cancer Control,1073-2748,"1,473",2.009,2.636,0.002510
4792,International Journal of Social Robotics,1875-4791,865,2.009,2.315,0.001890
4792,PERITONEAL DIALYSIS INTERNATIONAL,0896-8608,"3,530",2.009,2.305,0.003320
4795,CANADIAN JOURNAL OF NEUROLOGICAL SCIENCES,0317-1671,"2,658",2.006,1.523,0.003970
4795,CURRENT OPINION IN CARDIOLOGY,0268-4705,"2,042",2.006,1.965,0.004020
4795,Higher Education Research & Development,0729-4360,"2,361",2.006,2.293,0.002370
4795,PHYSIOLOGICAL MEASUREMENT,0967-3334,"5,247",2.006,2.346,0.006630
4799,URBAN ECOSYSTEMS,1083-8155,"2,105",2.005,2.554,0.003430
4800,Eating Behaviors,1471-0153,"2,683",2.004,2.400,0.005470
4800,European Journal of Medical Genetics,1769-7212,"1,793",2.004,1.843,0.005630
4800,JOURNAL OF FISH DISEASES,0140-7775,"4,760",2.004,2.057,0.003450
4800,PLANT CELL TISSUE AND ORGAN CULTURE,0167-6857,"5,491",2.004,2.016,0.005110
4804,AEROSOL SCIENCE AND TECHNOLOGY,0278-6826,"6,491",2.000,2.379,0.005980
4804,Acta Naturae,2075-8251,750,2.000,2.308,0.001590
4804,Annual Review of Linguistics,2333-9691,83,2.000,2.000,0.000470
4804,BIOELECTROMAGNETICS,0197-8462,"2,552",2.000,1.906,0.002030
4804,CANADIAN JOURNAL OF REMOTE SENSING,0703-8992,"1,986",2.000,2.393,0.001860
4804,CHEMOTHERAPY,0009-3157,"1,485",2.000,1.611,0.001060
4804,CRYPTOGAMIE MYCOLOGIE,0181-1584,524,2.000,2.107,0.001120
4804,Cognitive Neurodynamics,1871-4080,699,2.000,1.978,0.001480
4804,ENGINEERING ECONOMIST,0013-791X,445,2.000,1.705,0.000380
4804,ENGINEERING ECONOMIST,0013-791X,445,2.000,1.705,0.000380
4804,EVOLUTION & DEVELOPMENT,1520-541X,"1,896",2.000,2.134,0.002100
4804,EXTREMOPHILES,1431-0651,"2,800",2.000,2.226,0.003470
4804,HERPETOLOGICAL MONOGRAPHS,0733-1347,395,2.000,2.667,0.000340
4804,INTERNATIONAL JOURNAL OF CLINICAL PRACTICE,1368-5031,"5,309",2.000,2.350,0.007460
4804,International Journal of Computational Intelligence Systems,1875-6891,974,2.000,1.246,0.001620
4804,JOURNAL OF AGRICULTURAL ECONOMICS,0021-857X,"1,717",2.000,2.526,0.001890
4804,JOURNAL OF AGRICULTURAL ECONOMICS,0021-857X,"1,717",2.000,2.526,0.001890
4804,JOURNAL OF PLANT RESEARCH,0918-9440,"2,329",2.000,1.988,0.003260
4804,JOURNAL OF SOCIAL ARCHAEOLOGY,1469-6053,345,2.000,1.500,0.000610
4804,Journal of Social Marketing,2042-6763,299,2.000,Not Available,0.000220
4804,Mental Health and Physical Activity,1755-2966,416,2.000,Not Available,0.001040
4804,NEW LEFT REVIEW,0028-6060,"2,272",2.000,2.095,0.002360
4804,NPJ Microgravity,2373-8065,94,2.000,2.000,0.000350
4804,PEDIATRIC DRUGS,1174-5878,"1,064",2.000,2.166,0.001880
4804,POLYCYCLIC AROMATIC COMPOUNDS,1040-6638,680,2.000,1.482,0.000800
4804,PUBLIC OPINION QUARTERLY,0033-362X,"5,849",2.000,3.248,0.006760
4804,RESEARCH ON AGING,0164-0275,"1,657",2.000,1.879,0.001620
4804,THEORETICAL LINGUISTICS,0301-4428,306,2.000,2.343,0.000370
4804,Theoretical Biology and Medical Modelling,1742-4682,754,2.000,1.384,0.001370
4804,Trends in Hearing,2331-2165,229,2.000,2.518,0.000980
4804,WORLD BANK RESEARCH OBSERVER,0257-3032,"1,100",2.000,3.039,0.001600
4835,BMC MUSCULOSKELETAL DISORDERS,1471-2474,"8,804",1.998,2.454,0.020980
4835,CIRCUITS SYSTEMS AND SIGNAL PROCESSING,0278-081X,"2,462",1.998,1.728,0.004880
4837,SURFACE SCIENCE,0039-6028,"21,649",1.997,1.827,0.010330
4838,Journal of Computational and Nonlinear Dynamics,1555-1423,"1,541",1.996,1.940,0.003680
4838,MUTATION RESEARCH-GENETIC TOXICOLOGY AND ENVIRONMENTAL MUTAGENESIS,1383-5718,"6,672",1.996,2.404,0.004660
4840,Congenital Heart Disease,1747-079X,"1,375",1.995,1.629,0.004050
4840,INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING,0951-192X,"1,749",1.995,2.016,0.002170
4840,Therapeutics and Clinical Risk Management,1178-203X,"2,357",1.995,2.028,0.004150
4843,AIDS CARE-PSYCHOLOGICAL AND SOCIO-MEDICAL ASPECTS OF AIDS/HIV,0954-0121,"6,356",1.994,2.238,0.011630
4843,HUMAN IMMUNOLOGY,0198-8859,"5,062",1.994,2.023,0.007280
4843,TOXICOLOGY MECHANISMS AND METHODS,1537-6516,"1,307",1.994,1.740,0.001940
4846,COMMUNITY DENTISTRY AND ORAL EPIDEMIOLOGY,0301-5661,"4,134",1.992,2.462,0.003400
4846,JOURNAL OF APPLIED GERONTOLOGY,0733-4648,"1,208",1.992,1.992,0.001870
4846,NUCLEAR PHYSICS A,0375-9474,"18,049",1.992,1.510,0.010500
4846,PROBABILITY THEORY AND RELATED FIELDS,0178-8051,"3,040",1.992,2.048,0.013050
4850,Chinese Journal of Natural Medicines,2095-6975,"1,318",1.991,1.791,0.002490
4850,Greenhouse Gases-Science and Technology,2152-3878,673,1.991,2.312,0.001600
4852,BIOPOLYMERS,0006-3525,"9,997",1.990,2.165,0.007350
4852,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,0022-0981,"15,335",1.990,2.171,0.010160
4852,Journal of Sports Science and Medicine,1303-2968,"2,818",1.990,2.372,0.004330
4855,JOURNAL OF ARID ENVIRONMENTS,0140-1963,"8,043",1.989,2.042,0.006770
4856,INTERNATIONAL REVIEW OF ADMINISTRATIVE SCIENCES,0020-8523,"1,117",1.988,2.289,0.001740
4856,JOURNAL OF MEDICAL VIROLOGY,0146-6615,"8,416",1.988,1.842,0.011020
4858,Clinical Spine Surgery,2380-0186,406,1.987,2.006,0.001450
4858,ECOTOXICOLOGY,0963-9292,"5,400",1.987,2.492,0.007390
4860,Journal of Happiness Studies,1389-4978,"3,188",1.986,2.863,0.005340
4861,EUROPEAN JOURNAL OF PSYCHOLOGICAL ASSESSMENT,1015-5759,"1,591",1.985,2.357,0.001880
4862,EUROPEAN JOURNAL OF MECHANICS B-FLUIDS,0997-7546,"2,432",1.984,2.086,0.005080
4862,MEDITERRANEAN MARINE SCIENCE,1108-393X,"1,057",1.984,2.229,0.002360
4862,Methods in Enzymology,0076-6879,"24,482",1.984,2.196,0.019070
4865,ANNALS OF CLINICAL BIOCHEMISTRY,0004-5632,"2,906",1.983,2.121,0.003460
4865,APPLIED INTELLIGENCE,0924-669X,"1,702",1.983,1.856,0.003560
4865,Current Urology Reports,1527-2737,"1,203",1.983,1.816,0.002990
4868,Dairy Science & Technology,1958-5586,948,1.982,2.033,0.001590
4868,Evaluation,1356-3890,899,1.982,2.650,0.001420
4868,JOURNAL OF CLINICAL NEUROPHYSIOLOGY,0736-0258,"3,075",1.982,1.813,0.003380
4868,JOURNAL OF LOSS PREVENTION IN THE PROCESS INDUSTRIES,0950-4230,"4,370",1.982,2.199,0.006000
4872,ADVANCES IN PHYSIOLOGY EDUCATION,1043-4046,"1,388",1.981,2.248,0.001690
4872,SEXUALLY TRANSMITTED DISEASES,0148-5717,"5,199",1.981,2.428,0.009460
4872,WIRELESS NETWORKS,1022-0038,"2,836",1.981,1.886,0.003530
4872,World Journal of Mens Health,2287-4208,294,1.981,Not Available,0.000930
4876,AQUATIC ECOLOGY,1386-2588,"1,648",1.978,1.967,0.001690
4876,Evolutionary Psychology,1474-7049,"1,008",1.978,2.150,0.002490
4876,SURFACE ENGINEERING,0267-0844,"2,070",1.978,1.692,0.002390
4879,Aquatic Invasions,1798-6540,"1,373",1.976,2.638,0.002300
4879,BIOMARKERS,1354-750X,"2,110",1.976,2.101,0.003230
4879,JOURNAL OF ENGINEERING EDUCATION,1069-4730,"2,368",1.976,3.888,0.001610
4879,JOURNAL OF ENGINEERING EDUCATION,1069-4730,"2,368",1.976,3.888,0.001610
4879,POLITICS & SOCIETY,0032-3292,"1,564",1.976,3.000,0.002120
4879,RESEARCH IN THE TEACHING OF ENGLISH,0034-527X,730,1.976,2.056,0.000840
4885,Journal of Travel & Tourism Marketing,1054-8408,"2,460",1.975,2.634,0.001550
4886,AMERICAN FAMILY PHYSICIAN,0002-838X,"6,229",1.974,2.811,0.005000
4886,COMPUTER METHODS IN BIOMECHANICS AND BIOMEDICAL ENGINEERING,1025-5842,"2,564",1.974,2.021,0.006270
4886,FORENSIC SCIENCE INTERNATIONAL,0379-0738,"12,565",1.974,2.271,0.015830
4886,JCR-JOURNAL OF CLINICAL RHEUMATOLOGY,1076-1608,"1,661",1.974,1.603,0.002630
4886,SKIN PHARMACOLOGY AND PHYSIOLOGY,1660-5527,"1,683",1.974,2.225,0.001350
4891,ADDICTION RESEARCH & THEORY,1606-6359,"1,338",1.972,1.943,0.001880
4892,JOURNAL FOR NATURE CONSERVATION,1617-1381,"1,221",1.971,2.315,0.002700
4892,JOURNAL OF POLYMERS AND THE ENVIRONMENT,1566-2543,"2,830",1.971,2.376,0.002420
4892,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,0140-0118,"5,422",1.971,2.224,0.004840
4892,UPSALA JOURNAL OF MEDICAL SCIENCES,0300-9734,884,1.971,2.355,0.001930
4896,INTERNATIONAL JOURNAL OF RADIATION BIOLOGY,0955-3002,"4,307",1.970,1.742,0.003240
4896,JOURNAL OF COMPARATIVE PHYSIOLOGY A-NEUROETHOLOGY SENSORY NEURAL AND BEHAVIORAL PHYSIOLOGY,0340-7594,"5,159",1.970,2.139,0.004510
4896,RAPID COMMUNICATIONS IN MASS SPECTROMETRY,0951-4198,"12,055",1.970,1.989,0.011870
4899,Active Learning in Higher Education,1469-7874,634,1.969,2.840,0.000480
4899,BMC Medical Ethics,1472-6939,981,1.969,2.106,0.003320
4899,BMC Medical Ethics,1472-6939,981,1.969,2.106,0.003320
4899,BRITISH JOURNAL OF BIOMEDICAL SCIENCE,0967-4845,614,1.969,1.864,0.000550
4899,JOURNAL OF PEPTIDE SCIENCE,1075-2617,"2,232",1.969,1.905,0.003640
4899,JOURNAL OF THE EUROPEAN MATHEMATICAL SOCIETY,1435-9855,"1,574",1.969,2.182,0.015200
4899,Journal of Macromarketing,0276-1467,"1,254",1.969,2.369,0.000650
4906,International Journal of Disaster Risk Reduction,2212-4209,"1,110",1.968,2.494,0.002980
4906,JOURNAL OF MEDICAL ENTOMOLOGY,0022-2585,"8,192",1.968,2.131,0.007730
4908,ARCHIVES OF ORTHOPAEDIC AND TRAUMA SURGERY,0936-8051,"6,108",1.967,2.111,0.009570
4908,COLLOID AND POLYMER SCIENCE,0303-402X,"7,279",1.967,1.854,0.007090
4908,Current Oncology,1198-0052,"1,975",1.967,2.166,0.005130
4908,Human-centric Computing and Information Sciences,2192-1962,249,1.967,Not Available,0.000380
4908,PERSONALITY AND INDIVIDUAL DIFFERENCES,0191-8869,"21,396",1.967,2.390,0.024920
4908,Rangeland Ecology & Management,1550-7424,"1,846",1.967,2.060,0.002160
4914,European Sport Management Quarterly,1618-4742,770,1.966,2.353,0.000570
4914,TOXICOLOGIC PATHOLOGY,0192-6233,"5,674",1.966,2.437,0.004060
4916,JOURNAL OF ADOLESCENT RESEARCH,0743-5584,"1,882",1.964,2.177,0.001270
4916,Journal of Gastrointestinal and Liver Diseases,1841-8724,"1,404",1.964,2.197,0.002390
4918,Journal of Physics A-Mathematical and Theoretical,1751-8113,"24,326",1.963,1.766,0.035610
4919,NUCLEAR DATA SHEETS,0090-3752,"2,018",1.962,1.703,0.004910
4920,ENVIRONMENTAL & RESOURCE ECONOMICS,0924-6460,"4,354",1.961,2.308,0.005290
4920,Frontiers of Environmental Science & Engineering,2095-2201,"1,335",1.961,1.877,0.002540
4920,International Journal of Computer Assisted Radiology and Surgery,1861-6410,"2,099",1.961,2.118,0.004320
4923,JOURNAL OF CRANIO-MAXILLOFACIAL SURGERY,1010-5182,"5,229",1.960,2.059,0.010100
4923,PHYSICA D-NONLINEAR PHENOMENA,0167-2789,"11,592",1.960,1.971,0.009550
4925,BMC Veterinary Research,1746-6148,"3,874",1.958,2.221,0.012320
4925,Current Cardiology Reports,1523-3782,"1,521",1.958,1.867,0.004840
4925,DERMATOLOGY,1018-8665,"5,323",1.958,2.387,0.005800
4928,JOURNAL OF MOLECULAR EVOLUTION,0022-2844,"8,069",1.957,1.891,0.002130
4928,Nondestructive Testing and Evaluation,1058-9759,440,1.957,1.795,0.000890
4928,Project Management Journal,8756-9728,"1,608",1.957,2.900,0.001570
4928,Publications Mathematiques de l IHES,0073-8301,"1,408",1.957,3.917,0.005080
4932,Forests,1999-4907,"2,285",1.956,2.252,0.006520
4932,WATER INTERNATIONAL,0250-8060,"1,561",1.956,1.717,0.001680
4934,JOURNAL OF FOOD PROCESS ENGINEERING,0145-8876,"1,527",1.955,1.545,0.001370
4934,JOURNAL OF ZOOLOGY,0952-8369,"8,384",1.955,2.238,0.005150
4934,Journal of Family Nursing,1074-8407,648,1.955,2.412,0.000620
4934,Journal of Family Nursing,1074-8407,648,1.955,2.412,0.000620
4934,Modern Rheumatology,1439-7595,"2,660",1.955,2.074,0.006400
4934,Molecular Informatics,1868-1743,"1,003",1.955,1.868,0.002100
4940,CTS-Clinical and Translational Science,1752-8054,"1,002",1.954,1.597,0.002760
4940,JOURNAL OF MEDICINAL FOOD,1096-620X,"4,506",1.954,2.233,0.004660
4940,JOURNAL OF ORNITHOLOGY,0021-8375,"3,070",1.954,2.008,0.005760
4940,POLAR BIOLOGY,0722-4060,"5,890",1.954,2.078,0.007490
4944,BRITISH JOURNAL OF INDUSTRIAL RELATIONS,0007-1080,"1,429",1.953,2.285,0.001770
4944,JOURNAL OF NEUROIMAGING,1051-2284,"1,952",1.953,1.729,0.004640
4946,IEEE Transactions on Cognitive and Developmental Systems,2379-8920,56,1.952,1.952,0.000150
4946,METALS AND MATERIALS INTERNATIONAL,1598-9623,"1,903",1.952,1.351,0.002870
4946,PATTERN RECOGNITION LETTERS,0167-8655,"10,799",1.952,2.350,0.012680
4946,Psychology Research and Behavior Management,1179-1578,392,1.952,Not Available,0.001080
4946,RHEUMATOLOGY INTERNATIONAL,0172-8172,"5,979",1.952,1.803,0.012400
4951,Breastfeeding Medicine,1556-8253,"1,353",1.951,2.044,0.003290
4951,Cardiology in Review,1061-5377,"1,026",1.951,2.286,0.001780
4951,ENGINEERING WITH COMPUTERS,0177-0667,"1,086",1.951,2.144,0.001620
4954,APPLIED OCEAN RESEARCH,0141-1187,"2,524",1.950,2.161,0.004190
4954,FLAVOUR AND FRAGRANCE JOURNAL,0882-5734,"2,860",1.950,2.025,0.001410
4956,INTERNATIONAL JOURNAL OF STRESS MANAGEMENT,1072-5245,"1,192",1.949,2.402,0.000800
4956,JOURNAL OF THERMAL SPRAY TECHNOLOGY,1059-9630,"4,486",1.949,2.169,0.003730
4956,LASERS IN MEDICAL SCIENCE,0268-8921,"4,046",1.949,2.152,0.006220
4959,Chinese Optics Letters,1671-7694,"2,542",1.948,1.236,0.003760
4960,BIOTECHNOLOGY PROGRESS,8756-7938,"7,588",1.947,2.018,0.005450
4960,European Physical Journal-Special Topics,1951-6355,"3,673",1.947,1.855,0.010170
4960,SURGICAL CLINICS OF NORTH AMERICA,0039-6109,"3,297",1.947,2.131,0.003960
4963,ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY,1049-331X,919,1.946,2.526,0.001640
4963,INVERSE PROBLEMS,0266-5611,"6,566",1.946,2.095,0.011660
4963,JOURNAL OF ORGANOMETALLIC CHEMISTRY,0022-328X,"20,013",1.946,1.871,0.011030
4966,PHARMACEUTICAL DEVELOPMENT AND TECHNOLOGY,1083-7450,"2,099",1.945,1.785,0.002430
4967,American Journal of Rhinology & Allergy,1945-8924,"3,570",1.944,1.968,0.004280
4967,EUROPEAN JOURNAL OF DERMATOLOGY,1167-1122,"2,590",1.944,2.307,0.003380
4969,CURRENT GENE THERAPY,1566-5232,"1,155",1.943,2.225,0.001900
4969,Familial Cancer,1389-9600,"1,593",1.943,2.036,0.003840
4969,POLYMER COMPOSITES,0272-8397,"6,301",1.943,2.087,0.007210
4969,Parenting-Science and Practice,1529-5192,762,1.943,2.791,0.001130
4973,CONTINENTAL SHELF RESEARCH,0278-4343,"8,587",1.942,2.304,0.009750
4973,INTERNATIONAL JOURNAL OF HEMATOLOGY,0925-5710,"3,716",1.942,1.675,0.006130
4973,International Journal of Simulation Modelling,1726-4529,420,1.942,1.760,0.000800
4976,CRIME & DELINQUENCY,0011-1287,"2,061",1.941,2.218,0.003100
4976,INTERNATIONAL JOURNAL OF UROLOGY,0919-8172,"3,957",1.941,2.097,0.006530
4976,JOURNAL OF ANIMAL BREEDING AND GENETICS,0931-2668,"1,427",1.941,1.775,0.001980
4976,PHYSICS OF PLASMAS,1070-664X,"29,247",1.941,1.926,0.040130
4980,ALZHEIMER DISEASE & ASSOCIATED DISORDERS,0893-0341,"3,100",1.940,2.833,0.003700
4980,COMPUTER,0018-9162,"6,201",1.940,2.113,0.005820
4980,JOURNAL OF NERVOUS AND MENTAL DISEASE,0022-3018,"8,037",1.940,2.137,0.006740
4980,JOURNAL OF NERVOUS AND MENTAL DISEASE,0022-3018,"8,037",1.940,2.137,0.006740
4984,JOURNAL OF INFORMATION SCIENCE,0165-5515,"1,792",1.939,2.075,0.001700
4984,JOURNAL OF INFORMATION SCIENCE,0165-5515,"1,792",1.939,2.075,0.001700
4984,THIN SOLID FILMS,0040-6090,"41,745",1.939,1.796,0.028180
4984,Wiley Interdisciplinary Reviews-Data Mining and Knowledge Discovery,1942-4787,547,1.939,2.927,0.001800
4988,INTERNATIONAL JOURNAL OF EXPERIMENTAL PATHOLOGY,0959-9673,"1,969",1.938,2.047,0.001660
4988,NEUROLOGIA,0213-4853,945,1.938,1.766,0.001890
4988,PHOTODERMATOLOGY PHOTOIMMUNOLOGY & PHOTOMEDICINE,0905-4383,"1,455",1.938,1.958,0.001410
4988,Science China-Technological Sciences,1674-7321,"3,192",1.938,1.483,0.007550
4988,ZOOLOGY,0944-2006,"1,461",1.938,1.932,0.002130
4993,DOMESTIC ANIMAL ENDOCRINOLOGY,0739-7240,"2,136",1.937,1.948,0.002140
4993,Expert Review of Hematology,1747-4086,"1,042",1.937,2.000,0.003300
4993,HIGHER EDUCATION,0018-1560,"5,101",1.937,2.659,0.004030
4993,INTERNATIONAL MIGRATION REVIEW,0197-9183,"3,262",1.937,2.439,0.002620
4993,Journal of Plant Ecology,1752-9921,"1,482",1.937,2.678,0.003350
4993,Marine Genomics,1874-7787,847,1.937,1.914,0.002740
4999,CELL BIOLOGY INTERNATIONAL,1065-6995,"3,854",1.936,1.845,0.004510
4999,International Journal of Material Forming,1960-6206,"1,224",1.936,1.784,0.001010
4999,JOURNAL OF ADHESION,0021-8464,"1,842",1.936,1.778,0.001420
4999,JOURNAL OF ECONOMIC ENTOMOLOGY,0022-0493,"12,772",1.936,1.973,0.010320
4999,LIPIDS,0024-4201,"6,802",1.936,2.026,0.004220
4999,SCIENCE AND TECHNOLOGY OF WELDING AND JOINING,1362-1718,"2,866",1.936,2.084,0.003060
4999,SPINAL CORD,1362-4393,"6,079",1.936,2.438,0.006960
5006,AIDS RESEARCH AND HUMAN RETROVIRUSES,0889-2229,"4,469",1.935,1.860,0.008320
5006,CALPHAD-COMPUTER COUPLING OF PHASE DIAGRAMS AND THERMOCHEMISTRY,0364-5916,"3,443",1.935,2.003,0.002560
5006,EUROPEAN BIOPHYSICS JOURNAL WITH BIOPHYSICS LETTERS,0175-7571,"2,805",1.935,1.637,0.002420
5006,JOURNAL OF SCHOOL HEALTH,0022-4391,"3,404",1.935,2.172,0.004180
5006,JOURNAL OF SCHOOL HEALTH,0022-4391,"3,404",1.935,2.172,0.004180
5006,Journal of Pediatric Urology,1477-5131,"2,551",1.935,1.758,0.006680
5006,PATHOLOGY & ONCOLOGY RESEARCH,1219-4956,"2,068",1.935,1.808,0.003600
5006,TRANSPORTATION RESEARCH PART F-TRAFFIC PSYCHOLOGY AND BEHAVIOUR,1369-8478,"3,301",1.935,2.642,0.006510
5014,Journal of Pharmaceutical Innovation,1872-5120,366,1.934,1.643,0.000730
5015,ENTOMOLOGIA GENERALIS,0171-8177,279,1.933,0.973,0.000240
5015,VETERINARY RESEARCH COMMUNICATIONS,0165-7380,"1,754",1.933,1.703,0.000960
5017,Aquatic Biology,1864-7790,"1,231",1.932,1.856,0.002040
5017,INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY,1466-5026,"22,119",1.932,2.385,0.018340
5017,Infectious Diseases,2374-4235,561,1.932,1.932,0.002110
5017,NONPROFIT AND VOLUNTARY SECTOR QUARTERLY,0899-7640,"2,805",1.932,2.916,0.003040
5017,STATISTICS IN MEDICINE,0277-6715,"23,519",1.932,2.311,0.033050
5022,JOURNAL OF BANKING & FINANCE,0378-4266,"13,140",1.931,2.848,0.019730
5022,World Journal of Clinical Cases,2307-8960,692,1.931,Not Available,0.002130
5024,Australian Critical Care,1036-7314,600,1.930,2.123,0.000920
5024,Australian Critical Care,1036-7314,600,1.930,2.123,0.000920
5026,ACTA NEUROCHIRURGICA,0001-6268,"9,022",1.929,2.132,0.010240
5026,AMERICAN JOURNAL OF INFECTION CONTROL,0196-6553,"7,726",1.929,2.211,0.016510
5026,EXPERIMENTAL AND APPLIED ACAROLOGY,0168-8162,"3,356",1.929,1.908,0.004140
5026,IEEE INTERNET COMPUTING,1089-7801,"2,248",1.929,2.571,0.003530
5026,JOURNAL OF MARITAL AND FAMILY THERAPY,0194-472X,"1,928",1.929,2.604,0.001630
5026,RESEARCH ON SOCIAL WORK PRACTICE,1049-7315,"2,031",1.929,2.151,0.002480
5032,CRETACEOUS RESEARCH,0195-6671,"3,490",1.928,2.046,0.005200
5032,Computer Assisted Language Learning,0958-8221,"1,017",1.928,2.366,0.001110
5032,Local Environment,1354-9839,"1,886",1.928,2.557,0.002460
5032,Local Environment,1354-9839,"1,886",1.928,2.557,0.002460
5032,NATURAL PRODUCT RESEARCH,1478-6419,"5,576",1.928,1.657,0.007260
5032,SWISS MEDICAL WEEKLY,1424-7860,"3,103",1.928,2.099,0.005830
5038,BIOCHEMICAL GENETICS,0006-2928,"1,146",1.927,1.241,0.001180
5038,CORROSION,0010-9312,"5,514",1.927,1.746,0.003150
5038,JOURNAL OF MATHEMATICAL IMAGING AND VISION,0924-9907,"2,049",1.927,1.728,0.004110
5038,VISUAL NEUROSCIENCE,0952-5238,"2,429",1.927,2.083,0.001860
5042,Bulletin of the Peabody Museum of Natural History,0079-032X,302,1.926,2.759,0.000660
5042,NONLINEARITY,0951-7715,"4,440",1.926,1.825,0.014880
5044,COLD REGIONS SCIENCE AND TECHNOLOGY,0165-232X,"3,891",1.925,2.115,0.004340
5044,HIGH PRESSURE RESEARCH,0895-7959,"1,499",1.925,1.356,0.001990
5044,Journal of Computational Science,1877-7503,"1,136",1.925,1.906,0.002730
5044,Journal of Tissue Viability,0965-206X,448,1.925,1.950,0.000560
5044,Journal of Tissue Viability,0965-206X,448,1.925,1.950,0.000560
5044,Memetic Computing,1865-9284,310,1.925,2.000,0.000600
